URL,物件名,賃料,管理費・共益費,敷金（保証金）,礼金（敷引・償却金）,間取り,専有面積,種別,構造,築年,階建,向き,入居条件,バス・トイレ,キッチン,セキュリティ,室内設備,部屋の特徴,共用部,構造・工法,その他の特徴
https://suumo.jp/sp/chintai/tokyo/sc_107/bk_100142137219,エクスクルーシブアイディ両国(1K 7階 20.01m²)の賃貸住宅情報（(株)アンビション・ルームピア上野店提供）,6.9万円,7000円,6.9万円,10.35万円,1K,20.01平米,マンション,鉄筋コン,築10年,7階/7階建,北,即入居可、保証人不要、敷金1ヶ月、二人入居相談、保証金不要、ルームシェア相談、年内入居可、年度内入居可、保証会社利用可,バストイレ別、浴室乾燥機、温水洗浄便座,ガスコンロ対応、システムキッチン、2口コンロ、都市ガス,オートロック、防犯カメラ、セキュリティ会社加入済,エアコン、フローリング、TVインターホン、室内洗濯置、CATV、BS・CS、照明付、ネット専用回線、高速ネット対応,バルコニー、クロゼット、シューズボックス、最上階,エレベーター、駐輪場、宅配ボックス、24時間ゴミ出し可、敷地内ごみ置き場,外壁タイル張り、分譲賃貸、デザイナーズ,閑静な住宅地、2沿線利用可、駅まで平坦、平坦地、3駅以上利用可、駅徒歩10分以内
https://suumo.jp/sp/chintai/tokyo/sc_107/jnc_000025194684,フォレストピア浅草(1K 1階 21.11m²)の賃貸住宅情報,7.5万円,5000円,-,7.5万円,1K,21.11平米,マンション,その他,築2年,1階/4階建,-,即入居可、敷金不要、礼金1ヶ月,バストイレ別、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台,2口コンロ、IHクッキングヒーター、都市ガス,防犯カメラ、ディンプルキー,エアコン、フローリング、TVインターホン、室内洗濯置、CATV、光ファイバー、ネット使用料不要、24時間換気システム、高速ネット対応,バルコニー、クロゼット、角住戸、2面採光、築2年以内,,,2沿線利用可、3駅以上利用可、駅徒歩5分以内、初期費用カード決済可
https://suumo.jp/sp/chintai/tokyo/sc_107/jnc_000020534390,アーバンファースト両国(1K 3階 30.8m²)の賃貸住宅情報,7.6万円,4000円,7.6万円,7.6万円,1K,30.8平米,マンション,鉄筋コン,築11年,3階/14階建,東,保証人不要、敷金1ヶ月、保証金不要、礼金1ヶ月,バストイレ別、浴室乾燥機、温水洗浄便座、脱衣所,ガスコンロ対応、システムキッチン、2口コンロ、グリル付、ガスレンジ付、都市ガス,オートロック、防犯カメラ,エアコン、フローリング、TVインターホン、室内洗濯置、光ファイバー、高速ネット対応,バルコニー、クロゼット、シューズボックス、角住戸、2面採光、東南角住戸,エレベーター、宅配ボックス,外壁タイル張り、分譲賃貸,3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、駅徒歩10分以内、初期費用カード決済可
https://suumo.jp/sp/chintai/tokyo/sc_106/jnc_000045630441,ティアラ御徒町(1K 3階 22.21m²)の賃貸住宅情報,7.7万円,3000円,7.7万円,7.7万円(7.7万円),1K,22.21平米,マンション,鉄骨,築12年,3階/4階建,西,即入居可、敷金1ヶ月、礼金1ヶ月,バストイレ別、温水洗浄便座,2口コンロ、ガスレンジ付、都市ガス,オートロック,エアコン、フローリング、室内洗濯置、CATV、光ファイバー,バルコニー、クロゼット、角住戸、2面採光、通風良好,駐輪場、敷地内ごみ置き場,外壁タイル張り,駅まで平坦、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内
https://suumo.jp/sp/chintai/tokyo/sc_102/jnc_000045272381,スカイコート日本橋第5(1K 1階 20.95m²)の賃貸住宅情報,6.9万円,10000円,6.9万円,6.9万円(6.9万円),1K,20.95平米,マンション,鉄骨鉄筋,築15年,1階/11階建,南西,単身者相談、敷金1ヶ月、保証金不要、礼金1ヶ月、保証会社利用可,バストイレ別、浴室乾燥機,ガスコンロ対応、システムキッチン、2口コンロ、ガスレンジ付、都市ガス,オートロック、防犯カメラ、24時間緊急通報システム、ディンプルキー、ダブルロックキー,エアコン、フローリング、TVインターホン、室内洗濯置、CATV、BS・CS、全居室フローリング、24時間換気システム、室内物干機、高速ネット対応、LAN,バルコニー、クロゼット、シューズボックス、角住戸、眺望良好、南西向き、通風良好,エレベーター、駐輪場、宅配ボックス、24時間ゴミ出し可、敷地内ごみ置き場,外壁タイル張り、分譲賃貸、耐震構造,駅まで平坦、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、初期費用カード決済可
https://suumo.jp/sp/chintai/tokyo/sc_107/jnc_000045139713,スカイコート両国壱番館(ワンルーム 2階 23.4m²)の賃貸住宅情報,7.5万円,5000円,7.5万円,7.5万円,ワンルーム,23.4平米,マンション,鉄骨鉄筋,築17年,2階/12階建,東,即入居可、保証人不要、敷金1ヶ月、保証金不要、礼金1ヶ月,バストイレ別、脱衣所、洗面所独立、洗面化粧台、洗面所にドア,ガスコンロ対応、システムキッチン、2口コンロ、都市ガス,オートロック、防犯カメラ,エアコン、フローリング、室内洗濯置、CATV、光ファイバー、BS・CS、照明付、ネット専用回線、24時間換気システム、高速ネット対応,バルコニー、クロゼット、シューズボックス、玄関収納,エレベーター、駐輪場、宅配ボックス、24時間ゴミ出し可、敷地内ごみ置き場,外壁タイル張り、分譲賃貸,閑静な住宅地、駅まで平坦、平坦地、3駅以上利用可、3沿線以上利用可、駅前、駅徒歩5分以内、初期費用カード決済可
https://suumo.jp/sp/chintai/tokyo/sc_108/jnc_000037428690,アルシェ新大橋(ワンルーム 2階 25.52m²)の賃貸住宅情報,8万円,-,8万円,8万円,ワンルーム,25.52平米,マンション,鉄筋コン,築22年,2階/8階建,西,保証人不要,バストイレ別、温水洗浄便座,システムキッチン、2口コンロ、ガスレンジ付、都市ガス,オートロック,エアコン、室内洗濯置、CATV、光ファイバー、全居室フローリング,バルコニー、クロゼット、陽当り良好、シューズボックス、クロゼット2ヶ所,エレベーター、駐輪場、宅配ボックス、敷地内ごみ置き場,分譲賃貸,リバーサイド、3駅以上利用可、3沿線以上利用可
,アランシア両国,,,,,,,,,,,,,,,,,,,,
,メインステージ両国,,,,,,,,,,,,,,,,,,,,
https://suumo.jp/sp/chintai/tokyo/sc_107/jnc_000045878081,両国 ワンルーム 4階(ワンルーム 4階 18.13m²)の賃貸住宅情報,6.5万円,10000円,-,-,ワンルーム,18.13平米,マンション,鉄筋コン,築12年,4階/9階建,北,ペット相談、仲介手数料不要、保証金不要、保証会社利用可,,ガスコンロ対応、システムキッチン、2口コンロ、都市ガス,オートロック、防犯カメラ、24時間緊急通報システム,エアコン、フローリング、TVインターホン、室内洗濯置、CATV、光ファイバー、BS・CS、全居室フローリング、CS、ネット専用回線、エアコン全室、24時間換気システム、BS、高速ネット対応,バルコニー、クロゼット、陽当り良好、シューズボックス、全居室収納、全居室洋室、眺望良好,エレベーター、駐輪場、宅配ボックス、24時間ゴミ出し可、敷地内ごみ置き場,外壁タイル張り、分譲賃貸、デザイナーズ,2沿線利用可、2駅利用可、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、駅徒歩10分以内、初期費用カード決済可
